Data Point,Date,Simple Date,Outdoor Temperature (�F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Greenhouse  Temperature (°F),Greenhouse  Humidity (%),Office Temperature (°F),Office Humidity (%),Garage Temperature (°F),Garage Humidity (%),Basement Temperature (°F),Basement Humidity (%),Sensor 5 Temperature (°F),Absolute Pressure (inHg),Outdoor Battery,Greenhouse  Battery,Office Battery,Garage Battery,Sensor 5 Battery,CO2 battery,Greenhouse  Feels Like (°F),Greenhouse  Dew Point (°F),Office Feels Like (°F),Office Dew Point (°F),Garage Feels Like (°F),Garage Dew Point (°F),Indoor Feels Like (°F),Indoor Dew Point (°F),Basement Battery,Basement Feels Like (°F),Basement Dew Point (°F)
390,2023-06-12T08:25:00-04:00,6/12/2023 8:25,70.7,71.3,64.9,1.8,2.2,12.5,43,0,0,0,0,0.02,105.91,30.05,82,1,109.2,68.2,46,77,61,78.4,36,75.9,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.3,62.5,77.6,49.2,75.5,55.4,66.9,46.6,1,63.1,46.7
391,2023-06-12T08:30:00-04:00,6/12/2023 8:30,70.7,71.3,64.9,2.2,4.5,12.5,142,0,0,0,0,0.02,105.91,30.05,82,0,96.3,67.8,47,77.2,61,77.9,36,75.7,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.5,62.7,77.1,48.8,75.3,55.2,67.8,46.8,1,63.1,46.7
392,2023-06-12T08:35:00-04:00,6/12/2023 8:35,70.3,70.9,64.9,6.9,11.4,12.5,166,0,0,0,0,0.02,105.91,30.04,83,0,78,68,47,77.2,60,77.5,37,75.7,49,63.1,55,63.9,28.73,1,1,1,1,1,1,77.4,62.2,76.7,49.2,75.3,55.2,68,47,1,63.1,46.7
393,2023-06-12T08:40:00-04:00,6/12/2023 8:40,70.3,70.9,64.9,7.6,9.2,12.5,210,0,0,0,0,0.02,105.91,30.05,83,0,84.5,68.4,47,77.2,60,77.4,37,75.6,49,63.1,55,64,28.74,1,1,1,1,1,1,77.4,62.2,76.6,49.1,75.2,55.1,67.1,47.4,1,63.1,46.7
394,2023-06-12T08:45:00-04:00,6/12/2023 8:45,70.3,70.9,64.9,3.1,4.5,12.5,97,0,0,0,0,0.02,105.91,30.05,83,0,95.8,68.2,47,77,60,77,37,75.6,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.2,62,76.1,48.7,75.2,55.1,66.9,47.2,1,63.1,46.7
395,2023-06-12T08:50:00-04:00,6/12/2023 8:50,70.3,70.9,64.9,2.5,3.4,12.5,25,0,0,0,0,0.02,105.91,30.05,83,0,75,67.6,46,77.2,60,76.6,37,75.6,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.4,62.2,75.7,48.4,75.2,55.1,67.6,46.1,1,63.1,46.7
396,2023-06-12T08:55:00-04:00,6/12/2023 8:55,70.2,70.8,64.8,6,8.1,12.5,194,0,0,0,0,0.02,105.91,30.04,83,0,94.6,68,46,77,60,76.5,38,75.6,49,63.1,55,63.9,28.73,1,1,1,1,1,1,77.2,62,75.6,49,75.2,55.1,68,46.4,1,63.1,46.7
397,2023-06-12T09:00:00-04:00,6/12/2023 9:00,70.5,71.2,65.1,1.1,3.4,12.5,176,0,0,0,0,0.02,105.91,30.05,83,0,85.4,68.2,46,77,60,76.3,38,75.6,49,63.1,55,64,28.74,1,1,1,1,1,1,77.2,62,75.4,48.8,75.2,55.1,66.9,46.6,1,63.1,46.7
398,2023-06-12T09:05:00-04:00,6/12/2023 9:05,70.3,70.9,64.9,3.6,5.8,12.5,38,0,0,0,0,0.02,105.91,30.05,83,1,102.3,68,46,77,60,75.9,38,75.6,50,63.1,55,63.9,28.74,1,1,1,1,1,1,77.2,62,75,48.5,75.2,55.6,68,46.4,1,63.1,46.7
399,2023-06-12T09:10:00-04:00,6/12/2023 9:10,70.5,71.2,65.1,2.9,3.4,13.6,226,0,0,0,0,0.02,105.91,30.04,83,1,142.6,67.6,46,77,60,75.7,38,75.6,50,63.3,55,63.9,28.73,1,1,1,1,1,1,77.2,62,74.8,48.3,75.2,55.6,67.6,46.1,1,63.3,46.9
